Preprocessed,Stopword
"SEVEN SEAS BECOMBION SYRUP 110 MLSuplementasi vit B kompleks Vit B1 5 miligram vit B2 2 miligram vit B3 20 miligram vit B5 3 miligram vit B6 2,5 miligram vit B12 3 mikrogram L-lysine HCl 375 miligram Sir Dws 5 mililiter 2 hr Anak >12 thn 1 sdt 5 mililiter 2 hr 6-12 thn 1 sdt 5 mililiter hr 1-6 thn 1 2 sdt 2,5 mililiter hr Aturan Pakai","SEVEN SEAS BECOMBION 110 MLSuplementasi vit B kompleks Vit B1 5 miligram vit B2 2 miligram vit B3 20 miligram vit B5 3 miligram vit B6 2,5 miligram vit B12 3 mikrogram L-lysine HCl 375 miligram Sir Dws 5 mililiter 2 hr Anak >12 thn 1 sdt 5 mililiter 2 hr 6-12 thn 1 sdt 5 mililiter hr 1-6 thn 1 2 sdt 2,5 mililiter hr Aturan Pakai"
Botol 110 mililiter Vitamin Supplement Merck Indonesia,Botol 110 mililiter Vitamin Supplement Merck
Informasi terlengkap tentang SEVEN SEAS BECOMBION EKSTRA LYSINE SIRUP 100 mililiter,Informasi terlengkap tentang SEVEN SEAS BECOMBION EKSTRA LYSINE SIRUP 100 mililiter
 Fungsi Kegunaan Ulasan Efek Samping Indikasi,Fungsi Kegunaan Ulasan Efek Samping Indikasi
" Becom-C dalam setiap kapletnya Vitamin B1 50 miligram Vitamin B2 25 miligram Vitamin B6 10 miligram Vitamin B12 5 mikrogram Nikotinamida 100 miligram Vitamin C 500 miligram Panthothenic acid 18,4 miligram","Becom-C kapletnya Vitamin B1 50 miligram Vitamin B2 25 miligram Vitamin B6 10 miligram Vitamin B12 5 mikrogram Nikotinamida 100 miligram Vitamin C 500 miligram Panthothenic acid 18,4 miligram"
BECOM-ZET 10 KAPLETDefisiensi Vitamin B kompleks Vitamin C Vitamin E dan Zinc Deskripsi,BECOM-ZET 10 KAPLETDefisiensi Vitamin B kompleks Vitamin C Vitamin E dan Zinc
"Vitamin E 30 unit-internasional Vitamin B1 15 miligram Vitamin B2 15 miligram Vitamin B6 20 miligram Vitamin B12 mikrogram Asam Pantotenate 20 miligram Niacin 100 miligram Vitamin C 750 miligram Zinc 22,5 miligram 1 sehari 1 kaplet atau sesuai petunjuk dokter Item lainnya","Vitamin E 30 unit-internasional Vitamin B1 15 miligram Vitamin B2 15 miligram Vitamin B6 20 miligram Vitamin B12 mikrogram Asam Pantotenate 20 miligram Niacin 100 miligram Vitamin C 750 miligram Zinc 22,5 miligram 1 sehari 1 kaplet sesuai petunjuk dokter Item lainnya"
Befit Tablet merupakan obat yang termasuk dalam kategori vitamin dan suplemen yang mengandung Betakaroten 5000 unit-internasional vitamin C 300 miligram vitamin E 50 miligram Zn 150 miligram selenium 25 mikrogram,Befit merupakan termasuk kategori vitamin dan suplemen mengandung Betakaroten 5000 unit-internasional vitamin C 300 miligram vitamin E 50 miligram Zn 150 miligram selenium 25 mikrogram
Obat ini dapt digunakan untuk membantu memelihara kesehatan tubuh dan vitalitas,ini dapt digunakan membantu memelihara kesehatan tubuh dan vitalitas
BEFIXIM 200 miligram BOX 30 KAPSUL,BEFIXIM 200 miligram BOX 30
Befixim mengandung cefixime sefiksim yang digunakan untuk mengobati berbagai infeksi yang disebabkan oleh bakteri pada saluran kemih gonorrhae telinga saluran pernapasan termasuk infeksi parah yang mengancam nyawa,Befixim mengandung cefixime sefiksim digunakan mengobati berbagai infeksi disebabkan oleh bakteri pada saluran kemih gonorrhae telinga saluran pernapasan termasuk infeksi parah mengancam nyawa
Kandungan jahe merah dalam BEJO Sujamer diyakini mampu menjaga daya tahan tubuh yang cocok dikonsumsi oleh seluruh konsumen,jahe merah BEJO Sujamer diyakini mampu menjaga daya tahan tubuh cocok dikonsumsi oleh seluruh konsumen
Kandungan dan  Bellapure Indikasi Manfaat dan Kegunaan Bellapure Dosis dan Aturan Pakai Bellapure Izin Kemasan,dan Bellapure Indikasi Manfaat dan Kegunaan Bellapure Dosis dan Aturan Pakai Bellapure Izin
"Belvas merupakan sediaan tablet yang mengandung Amlodipine obat ini diproduksi oleh Tempo Scan Pacific Belvas atau Amlodipine tersedia dua kekuatan dosis yaitu Belvas 5 miligram dan 10 miligram Obat ini diindikasikan untuk hipertensi Angina kronis nyeri dada , angina Prinzmetal","Belvas merupakan sediaan mengandung Amlodipine ini diproduksi oleh Tempo Scan Pacific Belvas Amlodipine tersedia dua kekuatan dosis yaitu Belvas 5 miligram dan 10 miligram ini diindikasikan hipertensi Angina kronis nyeri dada , angina Prinzmetal"
"Benacol DTM mengandung Dextromethorphan HBr 7,5 miligram Diphenhydramine HCl 12,5 miligram Ammonium Chloride 100 miligram Potassium guaiacolsulfonate 30 miligram Natrium citrate 50 miligram menthol 1 miligram","Benacol DTM mengandung Dextromethorphan HBr 7,5 miligram Diphenhydramine HCl 12,5 miligram Ammonium Chloride 100 miligram Potassium guaiacolsulfonate 30 miligram Natrium citrate 50 miligram menthol 1 miligram"
BENACOL EXPECTORANT SIRUP 100 MLBatuk produktif disertai gejala2 Alergi hidung tersumbat gatal2 pada hidung atau mata mata berair Deskripsi,BENACOL EXPECTORANT SIRUP 100 MLBatuk produktif disertai gejala2 Alergi hidung tersumbat gatal2 pada hidung mata mata berair
Per 5 mililiter Diphenhydramine HCl 12.5 miligram Ammon Cl 100 miligram K guaiacolsulfonate 30 miligram Menthol 1 miligram Ethanol 4%Dewasa 3 sehari 2 sendok takar 5 mililiter Anak 3 sehari 1 sendok takar 5 mililiter Item lainnya,Per 5 mililiter Diphenhydramine HCl 12.5 miligram Ammon Cl 100 miligram K guaiacolsulfonate 30 miligram Menthol 1 miligram Ethanol 4%Dewasa 3 sehari 2 sendok takar 5 mililiter Anak 3 sehari 1 sendok takar 5 mililiter Item lainnya
BENADRYL ORIGINAL SIRUP 50 ML Meredakan batuk dan gejala lain yang timbul pada saluran pernafasan atas seperti bersin dan rasa gatal pada rongga hidung tenggorokan serta mata berair karena alergi Deskripsi,BENADRYL ORIGINAL SIRUP 50 ML Meredakan batuk dan gejala lain timbul pada saluran pernafasan atas seperti bersin dan rasa gatal pada rongga hidung tenggorokan serta mata berair karena alergi
"Tiap 5 mililiter mengandung Diphenhydramine hydrochloride 12,5 miligram Ammonium Chloride 125 miligram Dosis","5 mililiter mengandung Diphenhydramine hydrochloride 12,5 miligram Ammonium Chloride 125 miligram Dosis"
Dikonsumsi sesudah makan Item lainnya,Dikonsumsi sesudah makan Item lainnya
Benadryl Wet Cough merupakan obat yang mengandung Bromhexine HCl dan Guaifenesin digunakan untuk mengatasi batuk berdahak dan mempermudah pengeluaran dahak,Benadryl Wet Cough merupakan mengandung Bromhexine HCl dan Guaifenesin digunakan mengatasi batuk berdahak dan mempermudah pengeluaran dahak
Benczema mengandung Betamethasone Valerate yang termasuk dalam golongan obat kortikosteroid yang digunakan untuk mengobati inflamasi peradangan pada kulit,Benczema mengandung Betamethasone Valerate termasuk golongan kortikosteroid digunakan mengobati inflamasi peradangan pada kulit
Betamethasone bekerja dengan cara mencegah dan mengendalikan peradangan inflamasi dengan mengendalikan laju sintesis protein,Betamethasone bekerja dengan cara mencegah dan mengendalikan peradangan inflamasi dengan mengendalikan laju sintesis protein
BeneuronGolongan Vitamin dan Suplemen Kelas Terapi Vitamin dan Suplemen Kandungan Vitamin B1 100 miligram Vitamin B6 200 miligram vitamin B12 200 ug Satuan penjualan Stripe Kemasan Box 100 Tablet Farmasi Bernofarm,BeneuronGolongan Vitamin dan Suplemen Kelas Terapi Vitamin dan Suplemen Vitamin B1 100 miligram Vitamin B6 200 miligram vitamin B12 200 ug Satuan penjualan Stripe Box 100 Farmasi Bernofarm
Deskripsi Benocetam 800 miligram merupakan obat yang diproduksi oleh Bernofarm dengan kandungan bahan piracetam 800 miligram,Benocetam 800 miligram merupakan diproduksi oleh Bernofarm dengan bahan piracetam 800 miligram
"Benodex Kaplet Golongan Obat Keras Kelas Terapi Hormon Kortikosteroid Kandungan Dexamethasone 0,5 miligram Dexamethasone 0,75 miligram Bentuk Kaplet Satuan Penjualan Stripe Kemasan Stripe 10 Kaplet Farmasi Bernofarm","Benodex Kaplet Golongan Keras Kelas Terapi Hormon Kortikosteroid Dexamethasone 0,5 miligram Dexamethasone 0,75 miligram Kaplet Satuan Penjualan Stripe Stripe 10 Kaplet Farmasi Bernofarm"
Pada setiap tablet Benofomin mengandung metformin HCl 500 miligram Metformin merupakan antidiabetes golongan biguanid yang bekerja dengan menghambat proses glukoneogenesis dan glikogenolisis memperlambat penyerapan glukosa pada usus dan meningkatkan sensitifitas insulin di dalam tubuh,Pada Benofomin mengandung metformin HCl 500 miligram Metformin merupakan antidiabetes golongan biguanid bekerja dengan menghambat proses glukoneogenesis dan glikogenolisis memperlambat penyerapan glukosa pada usus dan meningkatkan sensitifitas insulin di tubuh
"BENOSON N CREAM adalah obat oles yang mengandung Betamethasone 0,1% dan Neomycin sulfate 0,5%, Obat ini digunakan untuk meredakan peradangan dan alergi kulit yang disertai dengan adanya infeksi Obat ini digunakan dengan cara mengoleskan obat pada wilayah yang infeksi sebanyak 2-3 kali per hari","BENOSON N CREAM adalah oles mengandung Betamethasone 0,1% dan Neomycin sulfate 0,5%, ini digunakan meredakan peradangan dan alergi kulit disertai dengan adanya infeksi ini digunakan dengan cara mengoleskan pada wilayah infeksi sebanyak 2-3 kali per"
BENOSON G CREAM merupakan obat yang digunakan untuk pengobatan penyakit kulit seperti inflamasi pada dermatosis yang peka terhadap kortikosteroid dan disertai oleh infeksi sekunder oleh bakteri tertentu,BENOSON G CREAM merupakan digunakan pengobatan penyakit kulit seperti inflamasi pada dermatosis peka terhadap kortikosteroid dan disertai oleh infeksi sekunder oleh bakteri tertentu
Benoson G mengandung betamethasone dan gentamycin sulfate,Benoson G mengandung betamethasone dan gentamycin sulfate
BENOSON M CREAM 5 G BENOSON M adalah obat yang mengandung Miconazole nitrate dan Betametasone valerate Obat ini digunakan untuk mengatasi penyakit kulit termasuk eksim dan dermatitis,BENOSON M CREAM 5 G BENOSON M adalah mengandung Miconazole nitrate dan Betametasone valerate ini digunakan mengatasi penyakit kulit termasuk eksim dan dermatitis
"BENOSON N CREAM adalah obat oles yang mengandung Betamethasone 0,1% dan Neomycin sulfate 0,5%, Obat ini digunakan untuk meredakan peradangan dan alergi kulit yang disertai dengan adanya infeksi","BENOSON N CREAM adalah oles mengandung Betamethasone 0,1% dan Neomycin sulfate 0,5%, ini digunakan meredakan peradangan dan alergi kulit disertai dengan adanya infeksi"
BENOSTAN 500 miligram KAPLETIndikasi Kegunaan,BENOSTAN 500 miligram KAPLETIndikasi Kegunaan
Asam mefenamat digunakan untuk menghilangkan rasa nyeri ringan sampai dengan sedang akibat berbagai kondisi,Asam mefenamat digunakan menghilangkan rasa nyeri ringan sampai dengan sedang akibat berbagai kondisi
Kandungan  Tiap tablet mengandung asam mefenamat 500 miligram Dosis,mengandung asam mefenamat 500 miligram Dosis
BENOVIT C 10 TABLETPeningkatan kebutuhan vitamin B kompleks dan vitamin C misalnya pada masa hamil laktasi pertumbuhan dan perkembangan infeksi ketegangan fisik dan mental Vitamin B1 50 miligram vitamin B2 25 miligram vitamin B6 10 miligram vitamin B12 5 mikrogram vitamin C 500 miligram niacinamide 50 miligram Ca pantothenate 20 miligram 1 kali sehari 1 tablet Item lainnya,BENOVIT C 10 TABLETPeningkatan kebutuhan vitamin B kompleks dan vitamin C misalnya pada masa hamil laktasi pertumbuhan dan perkembangan infeksi ketegangan fisik dan mental Vitamin B1 50 miligram vitamin B2 25 miligram vitamin B6 10 miligram vitamin B12 5 mikrogram vitamin C 500 miligram niacinamide 50 miligram Ca pantothenate 20 miligram 1 kali sehari 1 Item lainnya
Benoxicam adalah sediaan kaplet yang diproduksi oleh Bernofarm,Benoxicam adalah sediaan kaplet diproduksi oleh Bernofarm
"Benoxicam mengandung Piroxicam yang memiliki sifat analgesik meredakan nyeri , anti-inflamasi meredakan peradangan dan antipiretik menurunkan demam .","Benoxicam mengandung Piroxicam memiliki sifat analgesik meredakan nyeri , anti-inflamasi meredakan peradangan dan antipiretik menurunkan demam ."
tiap kemasan benoxuric mengandung sebagai berikut Allopurinol 100 miligram tablet Allopurinol 300 miligram tablet,benoxuric mengandung Allopurinol 100 miligram Allopurinol 300 miligram
Benzasil-Cl mengandung sebagai berikut Clindamycin Phosphate 1%Benzoyl peroxide 5%,Benzasil-Cl mengandung Clindamycin Phosphate 1%Benzoyl peroxide 5%
Jenis dan Kandungan Benzolac,Jenis dan Benzolac
Terdapat tiga jenis Benzolac yang tersedia di Indonesia yaitu Benzolac 2½.,Terdapat tiga jenis Benzolac tersedia di yaitu Benzolac 2.
Benzolac untuk ibu hamil dan menyusui Kategori C Studi pada binatang percobaan memperlihatkan adanya efek samping terh,Benzolac ibu hamil dan menyusui Kategori C Studi pada binatang percobaan memperlihatkan adanya efek samping terh
Manfaat Mengatasi jerawat Bentuk obat Gel Bahan Benzoyl peroxide,Manfaat Mengatasi jerawat Gel Bahan Benzoyl peroxide
BENZOLAC CL GEL 10 G BENZOLAC CL GEL adalah obat yang mengandung Clindamycin Phosphate dan Benzoyl Peroxide Obat ini merupakan antibiotik topikal untuk mengobati jerawat,BENZOLAC CL GEL 10 G BENZOLAC CL GEL adalah mengandung Clindamycin Phosphate dan Benzoyl Peroxide ini merupakan antibiotik topikal mengobati jerawat
BEPANTHEN SALEP 20 G mengandung Dekspanthenol,BEPANTHEN SALEP 20 G mengandung Dekspanthenol
Obat topikal ini digunakan untuk mengatasi masalah kulit seperti ruam popok ruam bayi radang kulit luka-luka lecet iritasi kulit lecet puting susu selama hamil dan menyusui,topikal ini digunakan mengatasi masalah kulit seperti ruam popok ruam bayi radang kulit luka-luka lecet iritasi kulit lecet puting susu selama hamil dan menyusui
Deskripsi Berea dengan kandungan Ambroxol termasuk agen mukolitik yaitu obat yang berfungsi mengencerkan dahak,Berea dengan Ambroxol termasuk agen mukolitik yaitu berfungsi mengencerkan dahak
Berea dapat digunakan untuk mengobati penyakit-penyakit pada saluran pernafasan dimana terjadi banyak lendir atau dahak,Berea dapat digunakan mengobati penyakit-penyakit pada saluran pernafasan dimana terjadi banyak lendir dahak
Deskripsi Berlicort Cream diproduksi oleh PT Berlico Mulia Farma dan telah terdaftar di BPOM,Berlicort Cream diproduksi oleh PT Berlico Mulia Farma dan telah terdaftar di BPOM
Berlicort Cream mengandung Hydrocortisone acetate untuk mengatasi dermatitis atopik dermatitis kontak ataupun reaksi alergi kulit lain yang responsif terhadap kortikosteroid,Berlicort Cream mengandung Hydrocortisone acetate mengatasi dermatitis atopik dermatitis kontak ataupun reaksi alergi kulit lain responsif terhadap kortikosteroid
"BERLIFED SIRUP 60 ML Meringankan batuk berdahak dan pilek Per 5 mililiter Prometasin HCI 5 miligram pseudoefedrin HCI 15 miligram Na-sitrat 57 miligram amonium klorida 135 miligram etanol 0,02%Anak 2-5 tahun 3 kali sehari 2,5 mililiter Anak 6-12 tahun 3 kali sehari 5 mililiter Dewasa 3 kali sehari 10 mililiter Sirup 60 mililiter 1 1 Blue Berlico Mulia Farma","BERLIFED SIRUP 60 ML Meringankan batuk berdahak dan pilek Per 5 mililiter Prometasin HCI 5 miligram pseudoefedrin HCI 15 miligram Na-sitrat 57 miligram amonium klorida 135 miligram etanol 0,02%Anak 2-5 tahun 3 kali sehari 2,5 mililiter Anak 6-12 tahun 3 kali sehari 5 mililiter Dewasa 3 kali sehari 10 mililiter Sirup 60 mililiter 1 1 Blue Berlico Mulia Farma"
Berlimox Kaplet 500 miligram obat,Berlimox Kaplet 500 miligram
Berlimox kaplet digunakan untuk infeksi pada kulit dan jaringan lunak infeksi pernafasan infeksi saluran cerna dan kencing nanah,Berlimox kaplet digunakan infeksi pada kulit dan jaringan lunak infeksi pernafasan infeksi saluran cerna dan kencing nanah
 obat Amoxicillin trihidrat setara dengan amoxicillin 500 miligram Aturan pakai obat Dikonsumsi bersama atau tanpa makanan,Amoxicillin trihidrat setara dengan amoxicillin 500 miligram Aturan pakai Dikonsumsi bersama tanpa makanan
"Tiap caplet Berlosid mengandung sebagai berikut Al OH 3 dried gel 261,44 miligram miligram OH 2 200 miligram Dimethicone 40 miligram","Berlosid mengandung Al OH 3 dried gel 261,44 miligram miligram OH 2 200 miligram Dimethicone 40 miligram"
Bernesten adalah produk obat dengan bentuk sediaan Krim yang diproduksi oleh Berlico Mulia Farma,Bernesten adalah produk dengan sediaan Krim diproduksi oleh Berlico Mulia Farma
Bernesten memiliki kandunganaktif Clotrimazole Clotrimazole adalah anti-jamur spektrum luas yang berikatan dengan fosfolipid dalam membran sel yang mengubah permeabilitas dinding sel dan menghambat pertumbuhan jamur,Bernesten memiliki kandunganaktif Clotrimazole Clotrimazole adalah anti-jamur spektrum luas berikatan dengan fosfolipid membran sel mengubah permeabilitas dinding sel dan menghambat pertumbuhan jamur
Tiap kemasan obat Bernoflox mengandung sebagai berikut Ciprofloxacin 250 miligram tablet Ciprofloxacin 500 miligram Kaplet Ciprofloxacin 200 miligram 100 mililiter,Bernoflox mengandung Ciprofloxacin 250 miligram Ciprofloxacin 500 miligram Kaplet Ciprofloxacin 200 miligram 100 mililiter
BEROCCA PERFORMANCE TABLET EFFERVESCENTMemenuhi kebutuhan vitamin esensial dan mineral harian,BEROCCA PERFORMANCE EFFERVESCENTMemenuhi kebutuhan vitamin esensial dan mineral harian
Vitamin B1 15 miligram vitamin B2 15 miligram vitamin B3 50 miligram vitamin B5 23 miligram vitamin B6 10 miligram vitamin B12 10 mikrogram vitamin C 500 miligram biotin 150 mikrogram asam folat 400 mikrogram miligram 100 miligram Ca 100 miligram Zn 10 miligram ekstrak ginseng 50 miligram Dewasa 1 tablet hari Item lainnya,Vitamin B1 15 miligram vitamin B2 15 miligram vitamin B3 50 miligram vitamin B5 23 miligram vitamin B6 10 miligram vitamin B12 10 mikrogram vitamin C 500 miligram biotin 150 mikrogram asam folat 400 mikrogram miligram 100 miligram Ca 100 miligram Zn 10 miligram ekstrak ginseng 50 miligram Dewasa 1 Item lainnya
BEROTEC MDI 100 mikrogram PUFF 10 mililiter merupakan sediaan berupa inhaler yang mengandung Fenoterol hydrobromide,BEROTEC MDI 100 mikrogram PUFF 10 mililiter merupakan sediaan berupa inhaler mengandung Fenoterol hydrobromide
Obat ini digunakan untuk mengatasi serangan asma akut dan penyakit paru obstruktid kronis lainnya yang menyebabkan penyempitan jalan napas,ini digunakan mengatasi serangan asma akut dan penyakit paru obstruktid kronis lainnya menyebabkan penyempitan jalan napas
BERRY VISION 10 TABLETMemelihara kesehatan mata Deskripsi,BERRY VISION 10 TABLETMemelihara kesehatan mata
Ekstrak kering Bilberry 80 miligram Retinol 1600 unit-internasional vit E 40 miligram Beta-carotene 5 miligram 2-3 sehari 1 tablet Aturan Pakai,Ekstrak Bilberry 80 miligram Retinol 1600 unit-internasional vit E 40 miligram Beta-carotene 5 miligram 2-3 sehari 1 Aturan Pakai
Box Isi 10 Stripe 10 Tablet Vitamin Supplement Sanbe Farma,Box Isi 10 Stripe 10 Vitamin Supplement Sanbe Farma
"Bersol 0,05 % krim 15 gram Deskripsi obat","Bersol 0,05 % krim 15 gram"
